category,original_file,repo_filename,thumbnail,landing_page,geo_location
drums,1000083691.mp4,cornelius-aurelius-playing-drums-01.mp4,cornelius-aurelius-playing-drums-01-thumbnail.jpg,drums.html,NOT SUPPLIED — no location claim added
drums,1000083692.mp4,cornelius-aurelius-playing-drums-02.mp4,cornelius-aurelius-playing-drums-02-thumbnail.jpg,drums.html,NOT SUPPLIED — no location claim added
drums,1000083693.mp4,cornelius-aurelius-playing-drums-03.mp4,cornelius-aurelius-playing-drums-03-thumbnail.jpg,drums.html,NOT SUPPLIED — no location claim added
drums,1000083694.mp4,cornelius-aurelius-playing-drums-04.mp4,cornelius-aurelius-playing-drums-04-thumbnail.jpg,drums.html,NOT SUPPLIED — no location claim added
drums,1000083695.mp4,cornelius-aurelius-playing-drums-05.mp4,cornelius-aurelius-playing-drums-05-thumbnail.jpg,drums.html,NOT SUPPLIED — no location claim added
drums,1000083696.mp4,cornelius-aurelius-playing-drums-06.mp4,cornelius-aurelius-playing-drums-06-thumbnail.jpg,drums.html,NOT SUPPLIED — no location claim added
piano,1000083697.mp4,cornelius-aurelius-playing-piano-01.mp4,cornelius-aurelius-playing-piano-01-thumbnail.jpg,piano.html,NOT SUPPLIED — no location claim added
piano,1000083698.mp4,cornelius-aurelius-playing-piano-02.mp4,cornelius-aurelius-playing-piano-02-thumbnail.jpg,piano.html,NOT SUPPLIED — no location claim added
piano,1000083699.mp4,cornelius-aurelius-playing-piano-03.mp4,cornelius-aurelius-playing-piano-03-thumbnail.jpg,piano.html,NOT SUPPLIED — no location claim added
piano,1000083713.mp4,cornelius-aurelius-playing-piano-04.mp4,cornelius-aurelius-playing-piano-04-thumbnail.jpg,piano.html,NOT SUPPLIED — no location claim added
football,1000083689.mp4,cornelius-aurelius-football-training-01.mp4,cornelius-aurelius-football-training-01-thumbnail.jpg,football.html,NOT SUPPLIED — no location claim added
football,1000083703.mp4,cornelius-aurelius-football-training-02.mp4,cornelius-aurelius-football-training-02-thumbnail.jpg,football.html,NOT SUPPLIED — no location claim added
football,1000083709.mp4,cornelius-aurelius-football-match-01.mp4,cornelius-aurelius-football-match-01-thumbnail.jpg,football.html,NOT SUPPLIED — no location claim added
football,1000083711.mp4,cornelius-aurelius-football-match-02.mp4,cornelius-aurelius-football-match-02-thumbnail.jpg,football.html,NOT SUPPLIED — no location claim added
paintings,1000083690.mp4,cornelius-aurelius-physical-paintings-01.mp4,cornelius-aurelius-physical-paintings-01-thumbnail.jpg,paintings.html,NOT SUPPLIED — no location claim added
paintings,1000083700.mp4,cornelius-aurelius-physical-paintings-02.mp4,cornelius-aurelius-physical-paintings-02-thumbnail.jpg,paintings.html,NOT SUPPLIED — no location claim added
paintings,1000083707.mp4,cornelius-aurelius-physical-paintings-03.mp4,cornelius-aurelius-physical-paintings-03-thumbnail.jpg,paintings.html,NOT SUPPLIED — no location claim added
paintings,1000083715.mp4,cornelius-aurelius-physical-paintings-04.mp4,cornelius-aurelius-physical-paintings-04-thumbnail.jpg,paintings.html,NOT SUPPLIED — no location claim added
fitness,1000083717.mp4,cornelius-aurelius-fitness-training-01.mp4,cornelius-aurelius-fitness-training-01-thumbnail.jpg,fitness.html,NOT SUPPLIED — no location claim added
visual-art,1000083714.mp4,cornelius-aurelius-visual-art-01.mp4,cornelius-aurelius-visual-art-01-thumbnail.jpg,creative.html,NOT SUPPLIED — no location claim added
